Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
P Amarnath,200802008,6,0,0,0,0,0,0,0,0,0,0,0,0
MM Ali,202102021,34,32,3,666,58,23.05,455,147.88,0,4,3,52,42
S Anirudha,200802013,20,13,5,136,64,11.0,113,91.57,0,1,2,9,7
KB Arun Karthik,201002010,17,8,3,51,3*,4.8,51,82.17,0,0,1,4,1
R Ashwin,200902015,167,63,22,456,23,15.8925,415,115.38499999999999,0,0,9,37,12
KM Asif,201802021,3,0,0,0,0,0,0,0,0,0,0,0,0
S Badree,201402014,12,5,0,13,0,1.3,23,28.26,0,0,2,0,0
S Badrinath,200802013,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28
GJ Bailey,200902010,40,37,10,663,30,22.2,544,100.6625,0,2,1,59,19
L Balaji,200802010,73,15,7,36,15,7.665,49,78.6725,0,0,5,2,1
SW Billings,201802019,22,19,0,334,56,17.3,250,133.11,0,3,3,31,10
DE Bollinger,201002012,27,4,3,21,16*,21.00,23,91.30,0,0,0,1,1
DJ Bravo,201102021,151,107,40,1537,68,20.425,1180,123.405,0,5,4,119,65
DL Chahar,201802021,63,12,5,79,39,12.415,57,180.39000000000001,0,0,3,2,6
PP Chawla,202002020,165,82,32,584,0,4.15625,526,41.18875,0,0,13,54,18
SM Curran,202002021,32,23,8,337,52,22.875,225,157.535,0,2,3,30,18
MS Dhoni,200802021,220,193,73,4746,84*,36.39,3494,131.14,0,23,4,325,219
F du Plessis,201202021,100,93,9,2935,96,32.95,2239,129.03,0,22,5,265,96
SP Fleming,200802008,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3
A Flintoff,200902009,3,3,1,62,24,31.00,53,116.98,0,0,0,5,2
RD Gaikwad,202002021,22,22,4,839,101*,46.61,635,132.12,1,7,2,80,29
C Ganapathy,201002010,1,1,1,0,0*,0,0,0,0,0,0,0,0
MS Gony,200802010,44,17,7,99,15*,7.4375,71,112.36,0,0,3,6,8
Harbhajan Singh,201802019,163,90,37,833,19,10.025,604,115.44,0,1,13,79,42
JW Hastings,201402014,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0
ML Hayden,200802010,32,32,2,1107,93,36.90,805,137.51,0,8,1,121,44
JR Hazlewood,202002021,12,0,0,0,0,0,0,0,0,0,0,0,0
BW Hilfenhaus,201202014,17,1,1,0,0*,0,0,0,0,0,0,0,0
JO Holder,201302013,26,16,3,189,0,10.65,156,89.89,0,0,1,11,11
DJ Hussey,201402014,64,61,12,1322,50*,34.15,1075,124.20250000000001,0,5,4,90,60
MEK Hussey,200802015,59,58,7,1977,116*,32.655,1612,119.22999999999999,1,15,1,198,52
Imran Tahir,201802021,59,9,5,33,13*,1.125,37,50.815,0,0,0,5,0
RA Jadeja,201202021,200,151,63,2386,62*,26.6025,1862,121.31125,0,2,6,176,85
KM Jadhav,201802020,93,80,26,1196,58,16.89125,971,112.53062500000001,0,4,6,101,40
N Jagadeesan,202002020,5,2,0,33,33,16.50,29,113.79,0,0,1,4,0
SB Jakati,200902012,59,8,7,28,13,6.75,29,37.5,0,0,0,3,0
Joginder Sharma,200802011,16,6,2,36,16*,9.00,30,120.00,0,0,2,1,2
S Randiv,201102011,8,1,0,2,2,2.00,4,50.00,0,0,0,0,0
CK Kapugedera,200802008,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0
JM Kemp,201002010,5,2,0,26,22,13.00,24,108.33,0,0,0,1,1
SC Kuggeleijn,201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
KMDN Kulasekara,201102012,6,1,1,5,5*,0,3,166.66,0,0,0,1,0
B Laughlin,201302013,9,4,2,5,4*,2.5,13,34.72,0,0,2,0,0
BB McCullum,201402015,109,109,5,2880,100*,24.481250000000003,2186,135.899375,2,13,6,293,130
VY Mahesh,201202012,18,5,3,15,0,3.75,27,27.775,0,0,0,0,0
M Manhas,201402014,55,38,15,514,13*,21.48,470,117.86,0,0,6,43,10
Monu Kumar,202002020,1,0,0,0,0,0,0,0,0,0,0,0,0
RG More,201502015,2,1,1,2,2*,0,2,100.00,0,0,0,0,0
JA Morkel,200802013,91,68,28,974,71,25.2025,686,133.95875,0,3,3,61,55
CH Morris,201302013,81,51,23,618,7*,13.787500000000001,398,149.5825,0,2,9,41,35
A Mukund,200802008,3,2,0,19,0,9.5,22,45.235,0,0,1,1,0
M Muralitharan,200802010,66,9,3,20,4,2.0625,30,66.2625,0,0,2,1,0
DP Nannes,201302013,29,3,2,4,0*,1.0,13,7.69,0,0,0,0,0
P Negi,201402015,50,35,9,365,36,15.0075,289,127.08000000000001,0,0,3,27,16
A Nehra,201402015,88,22,15,41,1*,0.75,62,82.07875,0,0,5,3,1
L Ngidi,201802021,14,0,0,0,0,0,0,0,0,0,0,0,0
M Ntini,200802008,9,2,1,11,11,11.00,18,61.11,0,0,0,2,0
JDP Oram,200802009,18,12,4,106,41*,3.785,108,25.2375,0,0,1,6,5
IC Pandey,201402015,25,1,0,0,0,0.0,2,0.0,0,0,1,0,0
PA Patel,200802010,139,137,11,2848,57,23.0090625,2358,120.4259375,0,13,13,365,49
NLTC Perera,201002010,37,30,8,422,0,18.411250000000003,307,125.17125,0,0,1,23,26
SK Raina,200802021,205,200,30,5528,100*,32.980000000000004,4043,136.37,1,39,8,506,203
AS Rajpoot,201302013,29,7,2,26,2*,5.9575,41,71.09,0,0,0,2,1
AT Rayudu,201802021,175,164,31,3916,100*,30.615000000000002,3072,127.89999999999999,1,21,13,324,149
WP Saha,201102013,133,108,22,2110,46*,24.528750000000002,1639,126.7175,1,8,4,191,69
MJ Santner,201902020,6,2,1,32,22,32.00,23,139.13,0,0,0,0,3
V Shankar,201402014,47,39,12,712,0,24.115000000000002,564,95.905,0,3,1,45,28
KV Sharma,201802020,68,35,14,317,0*,10.805,274,81.31125,0,0,1,18,14
MM Sharma,201302019,86,27,12,122,21*,6.0375,117,78.13749999999999,0,0,3,8,4
DR Shorey,201802019,2,2,0,13,8,6.50,17,76.47,0,0,0,0,1
DR Smith,201402015,91,89,5,2385,79,28.62875,1764,136.97750000000002,0,17,8,245,117
TG Southee,201102011,43,15,6,118,0,18.71875,95,112.9125,0,0,0,8,4
SB Styris,201102011,12,10,3,131,5*,9.0,133,173.09,0,0,0,10,3
SN Thakur,201802021,61,14,6,53,15*,2.3,47,59.427499999999995,0,0,5,5,1
T Thushara,200902010,6,4,2,12,8,6.00,18,66.66,0,0,0,0,0
S Tyagi,200902010,14,3,2,3,3*,3.00,4,75.00,0,0,1,0,0
RV Uthappa,202102021,193,186,17,4722,63,23.447812499999998,3628,131.26406250000002,0,25,7,462,168
S Vidyut,200802008,9,8,0,145,54,18.12,109,133.02,0,1,1,21,3
M Vijay,200902020,106,106,5,2619,127,25.835,2149,117.6875,2,13,5,247,91
SR Watson,201802020,145,141,16,3874,117*,23.330000000000002,2809,128.3725,4,21,7,375,190
DJ Willey,201802018,3,0,0,0,0,0,0,0,0,0,0,0,0
MA Wood,201802018,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
Anand Rajan,201102012,8,0,0,0,0,0.0,0,0.0,0,0,0,0,0
Anirudh Singh,201002010,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1
Ankit Sharma,201202012,22,10,3,87,15,9.4575,67,70.43,0,0,1,7,4
A Ashish Reddy,201202012,31,23,8,280,10*,15.51,193,135.035,0,0,0,17,14
SB Bangar,200802008,12,8,1,49,17*,4.915,58,59.065,0,0,1,1,3
AA Bilakhia,200902010,7,7,2,69,22,13.80,85,81.17,0,0,0,5,0
B Chipli,201102012,23,21,6,280,61*,12.875,251,87.685,0,1,0,28,7
DT Christian,201102012,49,41,10,460,39,9.44125,398,90.90875,0,0,2,23,19
H Das,200802008,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
KH Devdhar,201102011,1,0,0,0,0,0,0,0,0,0,0,0,0
S Dhawan,201102012,192,191,25,5784,95*,30.9,4567,121.54625,2,44,10,654,124
JP Duminy,201102012,83,77,26,2029,74,38.495,1636,120.49,0,14,1,126,79
FH Edwards,200902009,6,2,1,4,3*,4.00,5,80.00,0,0,0,0,0
HH Gibbs,200802010,36,36,4,886,69*,33.665,807,102.0,0,6,4,83,31
AC Gilchrist,200802010,80,80,4,2069,109*,27.244999999999997,1495,137.31,2,11,7,239,92
Harmeet Singh,200902011,28,6,2,18,0*,2.25,12,40.9075,0,0,2,3,0
DJ Harris,201202012,4,4,0,111,47,27.75,101,109.90,0,0,0,11,5
RJ Harris,200902010,37,21,9,117,15,10.24,112,104.25,0,0,2,6,3
IR Jaggi,201102012,7,7,2,76,25,21.875,97,79.37,0,0,0,6,0
Jaskaran Singh,200902010,8,5,4,8,4*,8.00,11,72.72,0,0,0,0,0
AA Jhunjhunwala,201202012,21,16,3,217,19,14.415,210,92.0825,0,1,1,19,5
D Kalyankrishna,200802008,3,1,0,3,3,3.00,8,37.50,0,0,0,0,0
VVS Laxman,200802010,20,20,2,282,52,15.26,267,105.265,0,1,4,33,5
MJ Lumb,201102011,12,12,0,278,0,12.635,194,72.395,0,1,3,45,6
CA Lynn,201202012,42,42,3,1329,6,34.6075,945,122.01249999999999,0,10,3,132,66
I Malhotra,201102011,1,1,1,7,7*,0,4,175.00,0,0,0,1,0
MR Marsh,201002010,21,15,2,225,15,6.13875,197,42.89625,0,0,1,9,14
A Mishra,201102012,154,56,25,362,25*,12.36,389,96.89000000000001,0,0,10,29,5
MD Mishra,201002010,18,17,1,237,41,14.645,208,113.1,0,0,1,24,8
T Mishra,201202012,1,0,0,0,0,0,0,0,0,0,0,0,0
PP Ojha,200802011,92,23,11,16,2,1.625,45,35.015,0,0,6,0,0
V Pratap Singh,201202012,9,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DB Ravi Teja,200802012,32,25,6,375,60,17.025,317,101.34,0,1,1,35,9
PA Reddy,201202012,12,11,1,164,42,18.665,160,106.905,0,0,0,15,2
KAJ Roach,201002010,2,1,0,10,10,10.00,9,111.11,0,0,0,1,0
BB Samantray,201202012,9,8,3,125,2*,12.3,113,105.405,0,1,1,13,2
KC Sangakkara,201102012,71,68,3,1687,82,20.36,1392,105.74000000000001,0,10,4,195,27
PM Sarvesh Kumar,200802008,2,1,1,1,1*,0,2,50.00,0,0,0,0,0
Shahid Afridi,200802008,10,9,1,81,33,10.12,46,176.08,0,0,1,7,6
I Sharma,201102011,93,25,19,55,1*,1.28125,61,27.142812499999998,0,0,1,4,2
R Sharma,201002010,44,20,6,66,14*,4.095,75,65.6375,0,0,8,5,3
RG Sharma,200802010,213,208,28,5611,76*,31.025,4303,130.79000000000002,1,40,13,491,227
Shoaib Ahmed,200902009,8,3,1,1,1*,0.50,6,16.66,0,0,2,0,0
LPC Silva,200802008,3,3,1,40,23*,20.00,26,153.84,0,0,1,5,1
RP Singh,200802010,82,30,15,52,10,0.69125,76,13.958124999999999,0,0,5,2,1
S Sohal,201102011,22,20,0,368,62,18.4,292,124.09,0,2,3,34,18
DW Steyn,201102012,95,37,15,167,13,9.46875,160,96.66874999999999,0,0,5,14,3
TP Sudhindra,201202012,3,1,1,0,0*,0,0,0,0,0,0,0,0
TL Suman,200902010,43,40,8,676,78*,14.857499999999998,575,103.82000000000001,0,2,3,55,26
B Sumanth,201002010,5,4,3,35,16,35.00,37,94.59,0,0,0,3,0
A Symonds,200802010,39,36,9,974,117*,35.11,750,117.455,1,5,0,74,41
J Theron,201202012,10,4,2,10,7*,0.25,12,89.16499999999999,0,0,1,1,0
WPUJC Vaas,200802010,13,11,3,81,20,10.12,73,110.95,0,0,3,2,3
Y Venugopal Rao,200802010,65,54,10,985,71*,23.177500000000002,836,115.54249999999999,0,3,2,77,37
DP Vijaykumar,200802008,9,2,2,1,1*,0,1,100.00,0,0,0,0,0
CL White,201102012,47,45,9,954,78,22.92,755,118.6825,0,6,4,76,36
AS Yadav,200802008,8,6,1,49,16,9.80,39,125.64,0,0,1,5,2
DNT Zoysa,200802008,3,2,1,11,10*,11.00,9,122.22,0,0,0,1,0
S Ladda,201002010,9,2,1,0,0*,0.0,9,0.0,0,0,1,0,0
AR Bawne,201702017,1,1,1,12,12*,0,12,100.00,0,0,0,1,0
VR Aaron,201102012,50,13,8,50,1,22.0625,72,67.8475,0,0,1,2,2
Abhishek Sharma,201802018,22,20,6,241,46*,38.345,173,159.02,0,0,0,17,12
AB Agarkar,201102013,42,22,12,179,9*,14.75,154,103.785,0,0,1,13,5
MA Agarwal,201402016,100,95,4,2131,68,17.45125,1573,120.9225,1,11,6,203,85
CJ Anderson,201702017,30,29,7,538,41*,15.795,423,101.5775,0,3,2,40,31
Avesh Khan,201802021,25,2,1,9,5,4.5,6,75.0,0,0,0,2,0
R Bhatia,200802010,95,49,19,342,21,17.771250000000002,284,126.965,0,0,3,24,13
TR Birt,201102011,5,5,0,75,27,15.00,58,129.31,0,0,0,9,2
