Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
P Amarnath,200802008,6,6,22.0,0,236,7,2/29,33.71,10.72,18.8,0,0,2,0
MM Ali,202102021,34,27,68.3,0,469,16,3/7,28.814999999999998,6.74,25.6,0,0,11,0
S Anirudha,200802013,20,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,11,0
KB Arun Karthik,201002010,17,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,11,2
R Ashwin,200902015,167,164,582.1999999999999,4,4031,145,3/16,31.59,7.28875,25.925,1,0,37,0
KM Asif,201802021,3,3,8.1,0,93,4,2/43,23.25,11.38,12.2,0,0,0,0
S Badree,201402014,12,12,43.0,1,319,11,1/19,22.564999999999998,7.615,18.8,1,0,2,0
S Badrinath,200802013,95,0,0,0,0,0,0,0,0,0,0,0,16,0
GJ Bailey,200902010,40,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,11,0
L Balaji,200802010,73,73,251.7,2,2028,76,5/24,26.685000000000002,8.045,20.075000000000003,3,1,11,0
SW Billings,201802019,22,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,13,0
DE Bollinger,201002012,27,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0,8,0
DJ Bravo,201102021,151,148,484.9,2,4061,167,4/42,26.8275,8.3875,19.15,2,0,77,0
DL Chahar,201802021,63,63,220.4,6,1722,59,4/13,71.35,8.64,46.75,2,0,12,0
PP Chawla,202002020,165,164,545.4,2,4301,157,2/33,33.2575,8.87875,22.35,2,0,40,0
SM Curran,202002021,32,31,108.0,0,995,32,3/19,31.419999999999998,9.370000000000001,20.1,1,0,10,0
MS Dhoni,200802021,220,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,126,39
F du Plessis,201202021,100,1,1.0,0,16,0,0,0.0,8.0,0.0,0,0,66,0
SP Fleming,200802008,10,0,0,0,0,0,0,0,0,0,0,0,2,0
A Flintoff,200902009,3,3,11.0,0,105,2,1/11,52.50,9.54,33.0,0,0,4,0
RD Gaikwad,202002021,22,0,0,0,0,0,0,0,0,0,0,0,10,0
C Ganapathy,201002010,1,1,1.0,0,13,0,0,0,13.00,0,0,0,0,0
MS Gony,200802010,44,44,148.0,3,1287,37,3/34,27.34,10.713750000000001,18.2875,0,0,6,0
Harbhajan Singh,201802019,163,160,568.8,6,4030,150,3/20,19.65,7.6425,16.375,1,1,49,0
JW Hastings,201402014,3,3,9.4,1,66,3,1/29,23.75,7.605,19.0,0,0,0,0
ML Hayden,200802010,32,0,0,0,0,0,0,0,0,0,0,0,11,0
JR Hazlewood,202002021,12,12,45.0,0,357,12,3/24,29.75,7.93,22.5,0,0,1,0
BW Hilfenhaus,201202014,17,17,62.0,2,479,22,3/27,21.77,7.72,16.9,0,0,1,0
